"","logFC"
"ATP5G2",-0.08878982
"ATP5G3",-0.44658568
"ATP5H",0.07610175
"ATP5I",0.04845421
"ATP5J",-0.30439019
"ATP5J2-PTCD1",-0.0578028
"ATP5J2",-0.07078147
"ATP5L",-0.23121277
"ATP5O",0.27934948
"ATP5S",-0.17551389
"ATP5SL",-0.01857638
"ATP6AP1",0.20440013
"ATP6AP2",0.45952538
"ATP6V0A1",-0.34460876
"ATP6V0A2",-0.28716629
"ATP6V0A4",0.09918844
"ATP6V0B",-0.17848993
"ATP6V0C",0.22173402
"ATP6V0D1",0.16083206
"ATP6V0E1",-0.26779377
"ATP6V0E2-AS1",-0.69539482
"ATP6V0E2",-0.16820501
"ATP6V1A",-0.28485151
"ATP6V1B2",-0.56244634
"ATP6V1C1",-0.06227913
"ATP6V1D",0.06044673
"ATP6V1E1",-0.14059334
"ATP6V1F",-0.21250454
"ATP6V1G1",-0.0545271
"ATP6V1G2-DDX39B",0.15518454
"ATP6V1H",-0.02085457
"ATP7A",-0.07216548
"ATP7B",-0.6408141
"ATP8A2",0.22591192
"ATP8B1",-0.11772732
"ATP8B2",-0.12337422
"ATP8B3",1.97663949
"ATP8B5P",0.0883084
"ATP9A",-0.21889041
"ATP9B",-0.03176229
"ATPAF1",0.14819546
"ATPAF2",0.71624097
"ATPIF1",0.49772022
"ATR",-0.57015109
"ATRAID",0.26285848
"ATRIP",-0.32003039
"ATRN",0.72710712
"ATRX",0.26669118
"ATXN1",0.30765213
"ATXN10",-0.04299576
"ATXN1L",-0.01380625
"ATXN2",-0.18783744
"ATXN2L",0.31839408
"ATXN3",0.1312224
"ATXN7",0.6117772
"ATXN7L1",-0.29750166
"ATXN7L2",0.38498302
"ATXN7L3",0.18099015
"ATXN7L3B",-0.19454262
"AUH",0.20792055
"AUNIP",-0.11758964
"AUP1",-0.46196708
"AURKA",-0.10640168
"AURKAIP1",-0.08725366
"AURKAPS1",-0.49512596
"AURKB",-0.23373895
"AUTS2",-0.18241471
"AVEN",0.05688434
"AVL9",-0.28936814
"AVPI1",0.38175677
"AXIN1",-0.14782612
"AXIN2",-0.84190789
"AXL",0.34127076
"AZI2",0.33344975
"AZIN1",-0.0526495
"B2M",0.17338128
"B3GALNT1",-0.17994548
"B3GALNT2",-0.45497169
"B3GALT4",1.92041234
"B3GALT6",0.23414055
"B3GALTL",-0.10879291
"B3GAT3",-0.29526245
"B3GNT1",0.40693139
"B3GNT2",-0.23389764
"B3GNT5",0.05394901
"B3GNT7",0.24596225
"B3GNT8",-0.36465266
"B3GNT9",0.27367646
"B3GNTL1",0.31930611
"B4GALNT4",0.50875974
"B4GALT1",-0.17714073
